Pokemon,XL
呆呆王,0
卡咪龜,1
閃電鳥,0
電龍,0
飄香豚,0
土台龜,0
可可多拉,1
雷公,0
骨紋巨聲鱷,0
隨風球,0
萬針魚,0
甲殼龍,0
圈圈熊,0
吼吼鯨,1
帝牙海獅,0
鐵掌力士,0
雷丘,0
由克希,0
芳香精,0
冰鬼護,0
坦克臭鼬,0
風妖精,0
閃電鳥,0
冰雪龍,1
死神棺,0
土龍節節,0
烈腿蝗,0
卡比獸,0
赤面龍,0
洛奇亞,0
飄浮泡泡,0
南瓜怪人,0
仆斬將軍,0
拉帝歐斯,0
路卡利歐,0
小卡比獸,0
燈罩夜菇,0
火爆獸,0
堅果啞鈴,0
蓋諾賽克特,0
長毛豬,0
喇叭啄鳥,1
龜足巨鎧,0
駒刀小兵,1
蔥遊兵,0
吼吼鯨,1
紅蓮鎧騎,0
喵頭目,0
艾路雷朵,0
大竺葵,0
南瓜精,1
銃嘴大鳥,0
毒骷蛙,0
艾路雷朵,0
電蜘蛛,0
鐵掌力士,0
暴飛龍,0
卡比獸,0
坐騎山羊,0
狙射樹梟,0
長毛豬,0
熱帶龍,0
南瓜怪人,0
觸手百合,1
夢幻,0
下石鳥,0
豪力,0
冰雪龍,1
頑皮雷彈,0
蜥蜴王,0
雪妖女,0
尼多娜,1
羅絲雷朵,0
仙子伊布,0
克雷色利亞,0
毒刺水母,0
毒骷蛙,0
大針蜂,0
君主蛇,0
拉帝歐斯,0
卡璞・鰭鰭,0
電擊魔獸,0
麒麟奇,0
自爆磁怪,0
蚊香泳士,0
水君,0
吼鯨王,0
麒麟奇,0
觸手百合,1
古空棘魚,0
蜥蜴王,0
天然鳥,0
阿利多斯,0
泥偶小人,1
尼多娜,1
雷吉洛克,0
頑皮雷彈,0
多麗米亞,0
沼躍魚,0
穿山鼠,1
飛天螳螂,0
大針蜂,0
保母蟲,0
火爆獸,0
冰岩怪,0
三地鼠,1
堅果啞鈴,0
自爆磁怪,0
青藤蛇,1
坦克臭鼬,0
比克提尼,0
魔幻假面喵,0
南瓜精,1
大劍鬼,0
蚊香蛙皇,0
冰鬼護,0
袋獸,0
三合一磁怪,0
三地鼠,0
臭泥,1
沼躍魚,0
重泥挽馬,0
蚊香蛙皇,0
拉達,0
基格爾德,0
磨牙彩皮魚,0
噴火龍,0
臭泥,1
西獅海壬,0
卡咪龜,1
穿山鼠,1
土台龜,0
鍬農炮蟲,0
戟脊龍,0
布里卡隆,0
小磁怪,1
三合一磁怪,0
三地鼠,0
大蔥鴨,1
炒炒豬,0
烈焰馬,0
穿著熊,0
騎拉帝納,0
呆殼獸,0
耿鬼,0
摔角鷹人,0
安瓢蟲,1
風速狗,0
狙射樹梟,0
頑皮雷彈,0
電蜘蛛,0
燃燒蟲,1
大嘴鷗,0
過動猿,0
熾焰咆哮虎,0
音箱蟀,0
鴨嘴火獸,0
焰后蜥,0
大嘴娃,0
焚焰蚣,0
吃吼霸,0
堵攔熊,0
肯泰羅,0
摩魯蛾,0
太古盔甲,0
蘋裹龍,0
塗標客,0
投擲猴,0
時拉比,0
電擊魔獸,0
托戈德瑪爾,0
涼脊龍,1
臭泥,1
小磁怪,1
水伊布,0
過動猿,0
耿鬼,0
噬沙堡爺,0
南瓜精,1
雷吉艾斯,0
寶石海星,0
顫弦蠑螈,0
堵攔熊,0
飄香豚,0
摩魯蛾,0
藍鴉,1
代歐奇希斯,0
三地鼠,1
臭臭泥,0
大尾狸,0
騎士蝸牛,0
騎士蝸牛,0
流氓鱷,0
盔甲鳥,0
鍬農炮蟲,0
風速狗,0
修建老匠,0
龍頭地鼠,0
小獅獅,1
月石,0
師父鼬,0
吼鯨王,0
隆隆岩,0
泥驢仔,0
寶石海星,0
火爆獸,0
波士可多拉,0
輕飄飄,1
泥偶小人,1
大竺葵,0
雷吉斯奇魯,0
卡蒂狗,1
鬼斯通,0
臭臭泥,0
雷丘,0
青藤蛇,1
長尾怪手,1
腕力,1
鴨嘴火獸,0
鐵火輝夜,0
破破舵輪,0
飄飄球,1
龍頭地鼠,0
蚊香泳士,0
派拉斯特,0
夢歌仙人掌,0
炙燙鱷,0
隆隆石,0
光電傘蜥,0
美納斯,0
夢妖,0
凱羅斯,0
狡猾天狗,0
心蝙蝠,0
戰舞郎,0
大狃拉,0
禿鷹丫頭,1
貓鼬斬,0
斧牙龍,0
劈斧螳螂,0
腕力,1
水君,0
索羅亞克,0
巨翅飛魚,0
大嘴娃,0
大狃拉,0
天然鳥,0
大尾狸,0
修建老匠,0
飄飄球,1
象牙豬,0
烈焰馬,0
飛天螳螂,0
肯泰羅,0
寶寶暴龍,0
長尾火狐,0
鴨嘴炎獸,0
猛火猴,1
炒炒豬,0
美納斯,0
臭臭泥,0
長尾怪手,1
風鈴鈴,0
炎武王,0
賽富豪,0
墓揚犬,0
齒輪組,0
象牙豬,0
貓頭夜鷹,0
太陽岩,0
夢歌仙人掌,0
隆隆岩,0
隆隆石,0
安瓢蟲,1
火恐龍,0
聒噪鳥,0
凱羅斯,0
大比鳥,0
拉達,0
狡猾天狗,0
力壯雞,0
螺釘地鼠,1
大朝北鼻,0
長耳兔,0
君主蛇,0
盔甲鳥,0
怪顎龍,0
隆隆岩,0
洛奇亞,0
鴨嘴炎獸,0
巴布土撥,0
穿山鼠,1
蜈蚣王,0
呆呆獸,1
胖甜妮,0
幾何雪花,0
炎武王,0
呆殼獸,0
豐蜜龍,0
一家鼠,0
口呆花,1
太古盔甲,0
螺釘地鼠,1
隆隆岩,0
席多藍恩,0
變隱龍,0
肯泰羅,0
妖火紅狐,0
哥達鴨,0
臭泥,1
猛火猴,1
超甲狂犀,0
麻麻鰻,0
直衝熊,0
超甲狂犀,0
呆呆獸,1
力壯雞,0
狃拉,0
寶包繭,1
哥達鴨,0
鐵蟻,0
席多藍恩,0
胖胖哈力,0
雷電雲,0
森林蜥蜴,0
蚊香君,1
結草貴婦,0
卡蒂狗,1
葉伊布,0
怪顎龍,0
詭角鹿,0
臭臭泥,0
大比鳥,0
巨蔓藤,0
隆隆石,0
戰舞郎,0
提布莉姆,0
直衝熊,0
蜈蚣王,0
妙喵,1
小拳石,1
波皇子,0
獨角犀牛,0
月桂葉,1
藍鱷,0
妙蛙草,0
穿山鼠,1
呆呆獸,1
帝牙盧卡,0
吉利蛋,1
鴨嘴寶寶,1
雷電獸,0
夢妖,0
沙漠蜻蜓,0
隆隆石,0
布土撥,1
火焰雞,0
沙漠蜻蜓,0
布魯皇,0
藍蟾蜍,1
狃拉,0
鬼斯通,0
蓋蓋蟲,1
混混鱷,1
霓虹魚,0
尼多王,0
寶寶暴龍,0
雙彈瓦斯,0
爆肌蚊,0
野蠻鱸魚,0
蚊香君,1
鑽角犀獸,0
姆克鳥,1
果然翁,1
櫻花兒,0
走路草,1
花葉蒂,1
保母曼波,0
藍鱷,0
大朝北鼻,0
火炎獅,0
電擊獸,0
小拳石,1
小球飛魚,1
多多冰,1
太陽珊瑚,1
大嘴蝠,0
火焰雞,0
湧躍鴨,0
巨蔓藤,0
原蓋海龜,1
捲捲耳,1
快拳郎,0
尼多王,0
洛托姆,0
雙彈瓦斯,0
火紅不倒翁,1
火紅不倒翁,1
烈咬陸鯊,0
大嘴蝠,0
滑滑小子,1
呆殼獸,0
姆克鷹,0
火恐龍,0
土地雲,0
小火馬,0
雷吉艾勒奇,0
原蓋海龜,1
奧利紐,1
電擊獸,0
飛腿郎,0
狂歡浪舞鴨,0
獨角犀牛,0
粉香香,1
飛腿郎,0
鑽角犀獸,0
刺甲貝,0
化石盔,1
蓋蓋蟲,1
姆克鳥,1
鐵螯龍蝦,0
走路草,1
波士可多拉,0
