Pokemon,XL
胖甜妮,1
君主蛇,1
布里卡隆,0
暴飛龍,0
蜈蚣王,1
索羅亞克,1
頑皮雷彈,1
眷戀雲,0
烈焰馬,1
蓋諾賽克特,0
臭臭泥,0
戟脊龍,0
三合一磁怪,1
雙彈瓦斯,1
土王,1
赤面龍,0
龍頭地鼠,0
古空棘魚,1
鐵螯龍蝦,1
魔牆人偶,1
呆呆王,0
鍬農炮蟲,0
紙御劍,0
象牙豬,0
夢妖魔,1
臭臭泥,0
貓頭夜鷹,1
頓甲,0
頑皮雷彈,1
寶石海星,1
圈圈熊,0
磨牙彩皮魚,1
鐵掌力士,0
索爾迦雷歐,0
雪妖女,1
大電海燕,1
洛奇亞,0
烈焰馬,1
水伊布,0
帝牙盧卡,0
巨翅飛魚,1
穿山王,1
肯泰羅,0
代歐奇希斯,1
凱路迪歐,0
大比鳥,1
卡璞・鳴鳴,0
龍頭地鼠,0
電燈怪,1
引夢貘人,1
詭角鹿,0
妖火紅狐,0
呆呆王,1
夢歌仙人掌,1
閃焰王牌,0
頑皮雷彈,1
鑰圈兒,1
白海獅,1
臭臭泥,0
來悲粗茶,0
水君,0
穿著熊,0
妖火紅狐,0
蜈蚣王,1
藏瑪然特,0
布莉姆溫,0
夢妖魔,1
大比鳥,1
蜥蜴王,0
豐蜜龍,1
大嘴雀,1
鴨嘴火獸,1
鯰魚王,1
魔幻假面喵,0
重泥挽馬,0
千針魚,1
雷吉艾勒奇,0
鯰魚王,1
蜥蜴王,0
哥達鴨,1
千針魚,1
萊希拉姆,0
雪妖女,1
豪力,1
臭臭泥,0
沼王,1
裹蜜蟲,1
哥達鴨,1
焰后蜥,1
美洛耶塔,0
姆克鷹,0
夢歌仙人掌,1
電擊獸,1
騎士蝸牛,0
蘋裹龍,1
隆隆岩,0
堵攔熊,0
席多藍恩,0
沼王,1
炎武王,0
巨蔓藤,0
天然鳥,1
捷克羅姆,0
時拉比,0
隆隆岩,0
戰舞郎,1
墓揚犬,1
沙螺蟒,0
風妖精,1
鴨嘴火獸,1
飄香豚,1
鐵蟻,0
土地雲,0
堅盾劍怪,1
幾何雪花,0
堵攔熊,0
武道熊師,0
炎武王,0
師父鼬,0
蟾蜍王,1
托戈德瑪爾,1
火炎獅,0
君主蛇,1
吞食獸,1
火爆獸,0
修建老匠,0
露奈雅拉,0
狡猾天狗,1
肯泰羅,0
水晶燈火靈,0
帝牙盧卡,0
騎士蝸牛,0
無極汰那,0
鐵骨土人,1
哥德小姐,1
蜜集大蛇,0
蓋歐卡,0
飛天螳螂,0
巨蔓藤,0
蜂女王,1
胖可丁,1
鐵螯龍蝦,1
電擊獸,1
鐵骨土人,1
席多藍恩,0
雷伊布,0
卡璞・哞哞,0
雷電雲,0
天然鳥,1
急凍鳥,0
姆克鷹,0
眷戀雲,0
鴨嘴炎獸,0
超夢,0
狡猾天狗,1
大狃拉,0
肯泰羅,0
阿勃梭魯,1
波士可多拉,0
蔥遊兵,0
炎帝,0
化石翼龍,0
修建老匠,0
豪力,1
千針魚,1
盔甲鳥,1
雙首暴龍,1
多麗米亞,1
鳳王,0
呆呆王,1
怪顎龍,0
麒麟奇,1
布魯皇,1
火焰鳥,0
雷電雲,0
浮潛鼬,1
流氓鱷,0
洛托姆,1
蒼響,0
爆音怪,1
塗標客,1
麒麟奇,1
鴨嘴炎獸,0
大狃拉,0
念力土偶,1
超夢,0
火焰鳥,0
達摩狒狒,0
烏鴉頭頭,0
凍原熊,0
凱羅斯,0
雷電斑馬,1
化石翼龍,0
達摩狒狒,0
尼多王,1
戰舞郎,1
鋁鋼龍,0
怖思壺,0
長毛狗,0
胡地,0
爆音怪,1
飛天螳螂,0
念力土偶,1
毛崖蟹,1
尼多王,1
詛咒娃娃,1
投擲猴,0
凱羅斯,0
大嘴蝠,1
洛托姆,1
鐵火輝夜,0
刺甲貝,1
熔蟻獸,1
烏鴉頭頭,0
盔甲鳥,1
波士可多拉,0
齒輪怪,0
太古盔甲,0
大嘴蝠,1
倫琴貓,0
劈斧螳螂,0
酋雷姆,0
洛托姆,1
雷電斑馬,1
斧牙龍,1
雙首暴龍,1
酋雷姆,0
龐岩怪,0
長耳兔,1
洛托姆,1
叉字蝠,0
咚咚鼠,1
變隱龍,1
阿勃梭魯,1
哥德小姐,1
烈焰猴,0
打擊鬼,0
爆炸頭水牛,0
巨牙鯊,1
代拉基翁,0
摩魯蛾,1
大狼犬,1
超甲狂犀,0
太古盔甲,0
可多拉,1
大狼犬,1
貓鼬斬,1
麻麻鰻魚王,0
嘎啦嘎啦,1
詛咒娃娃,1
叉字蝠,0
布魯皇,1
雷電獸,1
摩魯蛾,1
魔靈珊瑚,0
太陽伊布,0
葉伊布,0
八爪武師,0
土地雲,0
霸王花,1
瑪狃拉,0
劈斬司令,0
甜冷美后,0
爆肌蚊,0
快拳郎,1
胡地,0
隆隆岩,0
蓋歐卡,0
嘎啦嘎啦,1
固拉多,0
獵斑魚,1
打擊鬼,0
章魚桶,1
索羅亞克,1
光電傘蜥,1
隆隆岩,0
快拳郎,1
燈罩夜菇,1
瑪狃拉,0
刺甲貝,1
嘎啦嘎啦,1
藏瑪然特,0
飛腿郎,1
炎帝,0
超甲狂犀,0
蒂安希,0
沙奈朵,0
可多拉,1
幸福蛋,0
多龍巴魯托,0
肯泰羅,0
艾姆利多,0
洛托姆,1
椰蛋樹,0
多邊獸Ⅱ,0
嘎啦嘎啦,1
奈克洛茲瑪,0
飛腿郎,1
洛托姆,1
雙倍多多冰,0
列陣兵,1
多刺菊石獸,0
火伊布,0
閃電鳥,0
熱帶龍,1
怪顎龍,0
多刺菊石獸,0
巨牙鯊,1
薩戮德,0
奧利瓦,0
沙奈朵,0
普隆隆姆,0
爆香猿,1
固拉多,0
人造細胞卵,0
勇士雄鷹,0
烈焰猴,0
金屬怪,1
椰蛋樹,0
天蠍,1
倫琴貓,0
滴蛛霸,1
金屬怪,1
肋骨海龜,0
迷唇姐,1
霸王花,1
斗笠菇,0
龍捲雲,0
基格爾德,1
櫻花兒,1
雙斧戰龍,0
奈克洛茲瑪,0
椰蛋樹,0
大朝北鼻,1
蝶結萌虻,1
椰蛋樹,0
大朝北鼻,1
電束木,0
雙尾怪手,1
黑魯加,0
轟擂金剛猩,0
人造細胞卵,0
樹才怪,1
巨鉗蟹,0
鑽角犀獸,0
肋骨海龜,0
齒輪組,1
霓虹魚,1
花椰猿,1
狃拉,1
鐮刀盔,0
凱路迪歐,0
多邊獸Ⅱ,0
飯匙蛇,1
狃拉,1
舞天鵝,1
波克基古,1
炙燙鱷,1
天蠍,1
一家鼠,1
踏冰人偶,0
花舞鳥,1
野蠻鱸魚,1
尖牙籠,1
雷電獸,1
壘磊石,0
月月熊,0
袋獸,1
鑽角犀獸,0
月月熊,0
奈克洛茲瑪,0
蔓藤怪,1
黑魯加,0
風速狗,0
虛吾伊德,0
奇諾栗鼠,1
過動猿,1
雙尾怪手,1
花療環環,1
鐮刀盔,0
烈空坐,0
夢夢蝕,0
炒炒豬,1
海魔獅,1
水晶燈火靈,0
大尾立,1
裙兒小姐,1
風速狗,0
達摩狒狒,0
巨石丁,0
音波龍,0
蔓藤怪,1
過動猿,1
鬃岩狼人,0
超能妙喵,1
超能妙喵,1
尖牙陸鯊,1
蒼響,0
投羽梟,1
鬃岩狼人,0
萌芽鹿,1
冷水猿,1
舞天鵝,1
始祖大鳥,0
隆隆石,1
海魔獅,1
狃拉,1
好勝毛蟹,0
大針蜂,1
大針蜂,1
鬃岩狼人,0
狃拉,1
雪絨蛾,0
隆隆石,1
尖牙陸鯊,1
雨翅蛾,1
大宇怪,0
花舞鳥,1
達克萊伊,0
炒炒豬,1
遠古巨蜓,0
小卡比獸,1
熔岩蝸牛,1
龐岩怪,0
土龍弟弟,1
樹才怪,1
毽子棉,1
逐電犬,1
超壞星,1
夢妖,1
派拉斯特,1
冰伊布,0
大尾狸,1
沼躍魚,1
灰塵山,1
勇士雄鷹,0
毽子棉,1
花舞鳥,1
米立龍,0
米立龍,0
米立龍,0
沼躍魚,1
亞克諾姆,0
夢妖,1
灰塵山,1
魔牆人偶,1
象徵鳥,1
始祖大鳥,0
達克萊伊,0
花舞鳥,1
愛管侍,1
大尾狸,1
瑪力露麗,1
鋼炮臂蝦,0
小碎鑽,1
泥驢仔,1
高傲雉雞,0
阿柏怪,1
晶光花,0
高傲雉雞,0
火神蛾,0
樹枕尾熊,1
東施喵,1
沙鈴仙人掌,1
四顎針龍,0
東施喵,1
愛管侍,1
謝米,0
白蓬蓬,1
向日花怪,1
地幔岩,1
花漾海獅,1
結草貴婦,1
海刺龍,1
櫻花魚,1
隆隆石,1
驚角鹿,1
黏美兒,1
隆隆石,1
多邊獸Ｚ,0
阿柏怪,1
驚角鹿,1
護城龍,1
胡帕,0
拉達,1
千面避役,0
結草貴婦,1
地幔岩,1
櫻花兒,1
拉達,1
敏捷蟲,1
護城龍,1
貓鼬探長,1
戰槌龍,0
樹林龜,1
多邊獸Ｚ,0
敏捷蟲,1
樹林龜,1
胡帕,0
裙兒小姐,1
海刺龍,1
啪咚猴,1
戰槌龍,0
代歐奇希斯,0
龍捲雲,0
龍捲雲,0
雷吉奇卡斯,0
甜甜螢,1
雷吉奇卡斯,0
電螢蟲,1
謝米,0
差不多娃娃,1
吉利蛋,1
請假王,0
請假王,0
